Barrio,Total,0-4, 5-9, 10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 o más
Centro,9.218,190,319,397,423,484,521,457,409,464,660,721,723,664,603,558,542,484,294,227,78
Caño Argales,7.565,185,227,273,375,348,428,384,415,422,509,580,606,556,515,425,447,382,244,175,69
Universidad,4.940,105,134,171,167,221,286,275,278,308,316,327,316,307,377,380,325,304,172,122,49
San Pablo,1.906,35,46,75,68,82,92,82,86,100,137,128,137,122,152,141,168,122,65,44,24
San Nicolás,3.684,66,101,109,177,163,153,166,150,193,265,271,244,230,248,277,344,288,139,73,27
San Miguel,4.078,96,97,161,167,167,168,177,148,218,257,304,255,272,330,300,322,306,194,100,39
Circular,9.952,245,271,341,387,465,546,522,458,615,733,681,694,708,682,648,700,544,377,252,83
San Juan,1.814,34,67,76,66,78,93,94,77,118,96,140,112,114,109,141,149,136,69,27,18
San Juan II,1.853,43,47,67,63,110,125,110,92,95,139,111,136,115,91,123,141,95,86,43,21
Vadillos,4.186,120,118,137,146,197,242,234,213,276,314,305,309,310,284,268,271,210,137,78,17
Batallas,3.543,53,92,119,129,145,223,249,196,182,255,219,242,289,284,273,220,164,110,77,22
Hospital,6.899,143,188,209,217,276,395,380,315,385,458,390,406,416,529,537,625,501,268,178,83
Rondilla,15.978,385,445,544,658,808,815,815,810,868,1.076,1.215,1.244,1.215,1.048,958,1.086,1.016,567,317,88
Santa Clara,4.776,95,104,121,144,205,231,199,227,221,295,312,328,346,381,373,462,360,205,129,38
Huerta del Rey (Alta),6.261,171,158,225,232,243,208,240,287,355,413,374,374,395,517,566,632,504,236,104,27
Huerta del Rey (Baja),1.886,56,80,81,94,89,96,59,67,87,115,132,127,133,111,102,127,137,104,69,20
Huerta del Rey (Media),2.874,93,83,115,148,146,126,117,129,169,268,222,192,180,222,219,171,137,82,43,12
Gavilla,1.839,45,62,56,76,81,55,65,88,128,124,124,111,169,195,161,118,91,48,29,13
Paseo Zorrilla (Bajo),6.341,183,228,263,294,309,318,289,270,327,404,457,498,481,422,395,406,349,241,145,62
Campo Grande,6.560,180,191,201,226,266,327,297,342,334,421,429,501,481,573,495,483,387,249,131,46
Pajarillos Bajos,14.293,516,527,617,654,704,692,696,707,866,983,951,968,891,917,1.054,1.137,797,387,180,49
Pilarica,9.140,347,526,461,346,344,376,430,541,854,985,687,543,466,523,547,541,354,155,92,22
Belén,1.827,49,54,80,95,106,107,107,97,95,117,140,170,168,144,89,76,56,36,29,12
San Pedro Regalado,3.206,160,218,134,146,139,97,135,239,336,318,278,249,196,180,125,95,65,43,38,15
Barrio España,2.449,86,104,119,142,129,122,98,130,142,207,224,185,172,163,153,101,86,44,34,8
Avenida de Burgos-Canal de Castilla,14.488,358,455,618,711,802,687,597,682,784,1.109,1.309,1.377,1.118,960,881,897,572,336,183,52
Girón,10.449,495,608,755,585,429,369,446,577,907,1.313,1.020,824,691,482,329,272,173,84,58,32
Colegio Cristo Rey-Insonusa,1.297,21,30,36,39,30,72,70,71,51,69,73,57,151,167,131,124,67,23,15,
Parquesol,25.585,717,902,1.176,1.456,1.519,1.390,1.268,1.253,1.358,1.744,2.023,2.327,2.555,2.230,1.514,1.001,590,317,180,65
Arturo Eyries (Alto),3.031,63,101,95,136,141,159,128,111,134,181,203,228,237,303,275,223,185,85,33,10
Arturo Eyries (Bajo),1.283,72,63,72,82,83,70,59,55,85,108,100,92,45,64,70,79,43,29,10,2
Las Villas-Cañada Puente Duero-Covaresa-Parque Alameda-Paula López,23.558,665,949,1.356,1.710,1.599,1.059,884,959,1.329,1.806,2.318,2.307,1.987,1.543,1.168,850,595,275,137,62
La Rubia,3.917,96,122,165,175,185,152,155,169,226,314,312,297,243,261,272,376,225,98,53,21
Arturo León,2.675,58,91,84,95,116,88,102,122,168,200,177,153,165,230,303,288,145,56,28,6
Cuatro de Marzo,3.743,106,120,149,194,202,177,217,211,230,276,294,314,321,249,186,136,107,99,110,45
Paseo Zorrilla (Alto),13.186,290,365,406,485,540,542,607,683,665,902,913,961,928,981,924,1.037,948,596,320,93
Barriada Guardia Civil,1.406,55,62,56,60,49,58,68,83,99,78,119,111,97,84,83,84,86,37,29,8
Camino de la Esperanza,2.095,55,49,79,104,106,90,106,98,117,121,152,168,197,191,151,135,98,34,33,11
Polígono de Argales,3.571,211,209,179,121,109,149,237,295,386,415,287,222,197,166,123,109,79,48,22,7
Delicias,25.992,617,818,1.001,1.063,1.230,1.219,1.187,1.294,1.498,1.760,1.963,2.021,1.857,1.825,1.846,1.946,1.501,833,396,117
Caamaño-Las Viudas,16.533,696,953,1.153,1.017,833,881,916,945,1.292,1.648,1.355,1.067,856,756,584,539,495,301,193,53
Páramo San Isidro-Poblado Esperanza,2.772,92,131,188,217,122,125,119,130,233,393,349,254,159,95,63,49,33,13,5,2
Pajarillos Altos,3.878,134,150,229,232,206,192,179,181,228,376,330,354,316,284,157,129,103,59,34,5
Las Flores,2.237,96,144,160,150,110,93,117,147,188,238,205,156,126,107,69,58,42,19,10,2
La Overuela-Navabuena,2.775,90,121,150,226,198,129,118,145,149,190,268,251,266,176,142,79,42,24,9,2
El Pinar de Antequera,1.020,20,33,55,53,67,57,33,29,49,83,85,93,86,67,55,43,39,39,29,5
Puente Duero,1.284,40,57,63,56,81,60,64,68,87,103,104,107,106,92,58,45,58,25,10,
